,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
0,A002,R051,02-00-00,04-30-11,00:00:00,REGULAR,3143506,1087907
1,A002,R051,02-00-00,04-30-11,04:00:00,REGULAR,3143547,1087915
2,A002,R051,02-00-00,04-30-11,08:00:00,REGULAR,3143563,1087935
3,A002,R051,02-00-00,04-30-11,12:00:00,REGULAR,3143646,1088024
4,A002,R051,02-00-00,04-30-11,16:00:00,REGULAR,3143865,1088083
5,A002,R051,02-00-00,04-30-11,20:00:00,REGULAR,3144181,1088132
6,A002,R051,02-00-00,05-01-11,00:00:00,REGULAR,3144312,1088151
7,A002,R051,02-00-00,05-01-11,04:00:00,REGULAR,3144335,1088159
8,A002,R051,02-00-00,05-01-11,08:00:00,REGULAR,3144353,1088177
9,A002,R051,02-00-00,05-01-11,12:00:00,REGULAR,3144424,1088231
10,A002,R051,02-00-00,05-01-11,16:00:00,REGULAR,3144594,1088275
11,A002,R051,02-00-00,05-01-11,20:00:00,REGULAR,3144808,1088317
12,A002,R051,02-00-00,05-02-11,00:00:00,REGULAR,3144895,1088328
13,A002,R051,02-00-00,05-02-11,04:00:00,REGULAR,3144905,1088331
14,A002,R051,02-00-00,05-02-11,08:00:00,REGULAR,3144941,1088420
15,A002,R051,02-00-00,05-02-11,12:00:00,REGULAR,3145094,1088753
16,A002,R051,02-00-00,05-02-11,16:00:00,REGULAR,3145337,1088823
17,A002,R051,02-00-00,05-02-11,20:00:00,REGULAR,3146168,1088888
18,A002,R051,02-00-00,05-03-11,00:00:00,REGULAR,3146322,1088918
19,A002,R051,02-00-00,05-03-11,04:00:00,REGULAR,3146335,1088921
20,A002,R051,02-00-00,05-03-11,08:00:00,REGULAR,3146371,1089014
21,A002,R051,02-00-00,05-03-11,12:00:00,REGULAR,3146510,1089341
22,A002,R051,02-00-00,05-03-11,16:00:00,REGULAR,3146790,1089417
23,A002,R051,02-00-00,05-03-11,20:00:00,REGULAR,3147615,1089478
24,A002,R051,02-00-00,05-04-11,00:00:00,REGULAR,3147798,1089515
25,A002,R051,02-00-00,05-04-11,04:00:00,REGULAR,3147809,1089520
26,A002,R051,02-00-00,05-04-11,08:00:00,REGULAR,3147859,1089632
27,A002,R051,02-00-00,05-04-11,12:00:00,REGULAR,3147999,1089965
